,correlation_with_aqi
us_aqi,1.0
pm2_5,0.7504178170538486
pm10,0.6207385235625773
sulphur_dioxide,0.5845200835608078
carbon_monoxide,0.5005088813633904
pressure_msl,0.39069479377465083
nitrogen_dioxide,0.36780802386183653
relative_humidity_2m,0.26601677544812125
ozone,-0.024163607306838857
wind_speed_10m,-0.2626725065517742
temperature_2m,-0.38128528274224877
